Job title,Company,Location,Salary,Description
Data Analyst - Emergency Department,The Royal Melbourne Hospital,Melbourne VIC,None,N/A
Data Analyst,ING,Sydney NSW,None,"ING, Australia’s most recommended bank is on the hunt for an experienced ""Data Analysts"" to join our high performing Customer Insights team. You’ll be responsible for producing comprehensive deep-dive analyses, and delivering these actionable insights to key stakeholders using impactful visualisation and presentation techniques. Our ideal candidate will be passionate about data, and its ability to strengthen narrative. This love of data and an understanding of how customers tick are essential in this role. You’ll be instrumental across all stages of analysis, including, but not limited to, planning, forecasting, behavioural investigation, research integration, and across all stages of the customer lifecycle and value management. You’ll be an integral part of our Customer Insights team, which is the CoE for the analytics function, for our retail bank. The CI team is also a strategic partner for the business, equipping our stakeholders with data and insights to help identify, assess and quantify opportunities and outcomes, drive decisions, as well as to understand their impacts. What You’ll Do What we’re looking for About Us  At ING, we want to make life simpler and more worthwhile – for everyone who banks with us, for the people who work with us, and the community at large, too.  When you come to work at ING, you’re joining a modern and progressive team where individuality isn’t just accepted, it’s encouraged. You’ll be surrounded by people who are friendly, inclusive and respectful, who want you to reach your potential. It’s one of the many reasons we’re proud to be an Employer of Choice for Gender Equality.  We give people the freedom to take risks, stay curious and think differently, and seek new and better ways to make things happen. We’re here to help you get ahead. And with our global network, there’s plenty of scope to take your career in new directions, perhaps even ones you’ve never considered. People of all ages, sexual orientations, cultures and backgrounds are welcome to apply – likewise if you’re an indigenous Australian, or you’re living with a disability, or you have family or caring responsibilities.  Sound like the kind of place you’d feel at home? We’d love to hear from you.  (One last thing, ING operates a direct talent sourcing model. So no agency introductions, please.)"
N/A,N/A,N/A,Data Analyst,N/A
Data Analyst,Careerlink People Solutions,Australia,None, Our client located in the Adelaide CBD is seeking a Data Analyst to provide immediate support on an initial 6-month contract. If you have the skills and experience to excel in this position and you are looking to join an exciting organisation within a growing industry apply now. Please note only shortlisted candidates will be contacted. Job Posted: 17/07/2023
Data Analyst,The Good Guys,Victoria,None,"Job no: 507151  Work type: Permanent Full Time  Location: VIC - Metro  Categories: Information Technology  Advertised: 21 Jul 2023 AUS Eastern Standard Time  Applications close: 18 Aug 2023 AUS Eastern Standard Time About Us The JB Hi-Fi Group brings together two of Australia’s best known and most trusted retail brands, JB Hi-Fi and The Good Guys. The Group sells an extensive range of consumer electronics, whitegoods, appliances, and home entertainment at great prices combined with genuine personal service from our specialist teams. In addition to operating from over 300 stores in Australia and New Zealand and its websites, the Group also services the commercial, insurance and education sectors and offers information technology and consulting services, through its JB Hi-Fi Solutions business. Our team is our most valuable asset and together they reflect all that is special and unique about our business. We work hard to create a work environment that celebrates teamwork, nurtures talent, encourages individuality and embraces diversity. Benefits We can offer you a role where you'll be challenged every day to make a difference in a dynamic and fast-paced environment. We can offer a competitive package, great employee discounts, and special offers across JB Hi-Fi and The Good Guys, paid parental leave, and novated leasing. The Role Support the utilisation of data and analytics to inform insights that support decision making and drive actionable outcomes for the JB Hi-Fi Group. Responsibilities: Requirements: To Apply If you are interested in this exciting opportunity with us, please click apply and upload your CV. All applications are strictly confidential. JB Hi-Fi Group recognises the importance of diversity and appreciates the ways in which different perspectives encourage innovation."
Flight Data Analyst,Virgin Australia,Brisbane QLD,None,"Full TimeBrisbaneFlight OperationsHello. We’re Virgin Australia. And we’re back (in a big way). We’re the airline that’s always done things a little different. Our way. The Virgin way. For us, flying is so much more than simply taking off and landing (although we understand that is quite important). It’s about going the extra mile, in the air and on the ground, to create authentic experiences that put our guests firmly at the heart of everything we do. We know what sets Virgin Australia apart is our people and the drive that we all have a contribution to make. We deliver a highly professional and polished service, whilst ensuring that we are safe in everything that we do. We want dedicated people who are passionate about safety and ready for the challenge of working in a challenging environment. What you’ll do: As a Flight Data Analyst you will be responsible for compiling and analysing flight data, identifying trends and providing recommendations to the business for improvements to compliance and safety. This role is instrumental in providing administration of the Virgin Australia Group Flight Data Analysis Program (FDAP) including:Who you are: This is a fantastic opportunity for an analytical thinker with a passion for aviation looking for a challenging role integral to the flight operation of Virgin Australia:What you’ll get from us: We’re committed to looking after you, with some of the best benefits and conditions in the industry – including (but not limited to):Equality rules: We’re all individuals. We love that. That’s why we encourage applications from Indigenous Australians, people with disability, those from diverse cultural backgrounds, our friends in the LGBTQI+ community, and anyone else who wants to join our family. COVID-19: The safety and security of our people, guests and operations come first. Always. That’s why we’ve put together a comprehensive ‘Mandatory COVID-19 Vaccination Policy’. In a nutshell, to work with us, you’ll need to comply with our (and the airport’s) rules and regulations. And be fully vaxxed. Ready to apply? We’re ready to hear from you."
N/A,N/A,N/A,None,N/A
Principal Data Analyst,Queensland Health,"33 Charlotte Street, Brisbane QLD 4000",Data Analyst,N/A
Data Analytics & Intelligence Analyst,"NSW Government -Department of Enterprise, Investment and Trade",Sydney NSW,None,"Data Analytics & Intelligence Analyst · Make a difference to the integrity and welfare of Greyhound Racing in NSW Employment Type: 1 Permanent ongoing role available Work Location: Greater Sydney Classification / Grade / Band: Grade 7/8 Hours Per Week: 35, Hybrid working  Remuneration: Base salary from $101,947 - $112,849 plus superannuation and leave loading Applications Close: Friday 21 July 2023 at 11:55pm Are you passionate about animal welfare and driven to uphold the integrity of the greyhound racing industry? As our Data and Intelligence Analyst your primary purpose is to provide direct support to the Investigations & Compliance Team. Utilizing your expertise in data analytics, specifically using tools like Tableau, Power BI or similar systems, you will interpret data to conduct targeted investigations, compile reports, graphs, and trending analyses, and identify associations within our intelligence holdings. Your role will contribute to securing a prosperous industry by improving welfare and integrity. We seek an analytical powerhouse who can deliver detailed and informed intelligence to inform investigations, compliance functions, and decision-makers. You will excel in expert analysis, trend modelling, and developing clear, concise, and accurate intelligence reports, assessments, briefs, and research papers. Your ability to identify key trends and forecast industry activities and compliance through data analysis will be crucial. Join a team of like-minded professionals with a can-do attitude who share your passion for animal welfare and the pursuit of excellence in industry regulation. Together, we will make a positive impact on the greyhound racing community. At the Greyhound Welfare and Integrity Commission, we take immense pride in our role of safeguarding the integrity of greyhound racing. As an Analyst, you will play a crucial part in upholding high standards of animal welfare and ensuring compliance with industry regulations. Your work will contribute to the welfare of greyhounds and the overall reputation of the industry. Don't miss this exciting opportunity to collaborate with a dedicated team, where your skills and passion for animal welfare will be highly valued. Apply today to be a part of our mission! We would love to learn more about you! We welcome applications from all ages and genders, Aboriginal and Torres Strait Islander people, people with disabilities, LGBTQI+ and diverse ethnic and cultural backgrounds. Read the role description to learn more about the role and submit your application ONLY via the I Work for NSW jobs platform. A talent pool may be created through this recruitment process. A talent pool represents a group of applicants who have been assessed and identified as suitable for this role or similar roles and who may be considered for a range of similar roles, including temporary, term or ongoing roles, over the next 18 months. Eligibility To be eligible to apply for ongoing employment at GWIC, you must be an Australian or New Zealand citizen or permanent resident of Australia. GWIC does not provide relocation expenses, nor can we support employer-sponsored work visas unless specifically referenced in the advertisement. The successful candidate will be required to undergo background checks and provide confirmation of tertiary academic qualifications before commencement."
Data Analyst,Ramsay Health Care,"126 Phillip Street, Sydney NSW 2000",Data Analyst,"Entrepreneurial, optimistic and energetic, Ramsay has a vision to become a leader in digital health care. The Opportunity The Digital Delivery team at Ramsay Health Care are seeking an enthusiastic and dynamic Data Analyst to join our Digital Delivery team on a temporary full-time basis! The Data Analyst is a key role within the HRIS-project and is responsible for providing data-driven insights and recommendations to support various projects, operational or strategic decision-makers. The successful candidate will be required to: Key Skills and Experience Highly regarded, though not essential: Why Choose a Ramsay Career? Ramsay Health Care, a global operator of private hospitals and primary care clinics with 72 Australian sites employing over 30,000 people. We have been focused on delivering high-quality patient care and practising the Ramsay Way philosophy of ‘People Caring for People’ since 1972. We believe in a bright future for our company and for every one of our employees – our wellbeing initiatives and learning and development programs have seen us grow as an industry leader and sought after employer. Our Ramsay Way values We are a leading provider of health care services with a special culture known as “The Ramsay Way” and a philosophy of “People Caring for People”. Requirements As a part of Ramsay Health Care’s ongoing response to the pandemic and commitment to the health and wellbeing of the community, successful applicants are required to provide evidence of Covid-19 vaccinations prior to commencement. You may also be required to provide a current National Police check. To Apply All applications must be lodged online and should include your Curriculum Vitae outlining your experience and skills in line with the above criteria and 2 current work-related referees. Applications close Monday 24th July 2023 #LI-DNI"
